"symbol"
"SIPD.JK"
"EURO.JK"
"WICO.JK"
"BREN.JK"
"AKPI.JK"
"JECC.JK"
"SDRA.JK"
"IPPE.JK"
"PORT.JK"
"JARR.JK"
"JGLE.JK"
"ZBRA.JK"
"BLUE.JK"
"IPAC.JK"
"SOHO.JK"
"LSIP.JK"
"SMRA.JK"
"KUAS.JK"
"IKBI.JK"
"NASI.JK"
"BEKS.JK"
"HELI.JK"
"BSBK.JK"
"BUAH.JK"
"BRAM.JK"
"PEGE.JK"
"ANJT.JK"
"BIPI.JK"
"MTSM.JK"
"IMPC.JK"
"HERO.JK"
"CSMI.JK"
"ARGO.JK"
"CLEO.JK"
"TMPO.JK"
"HDIT.JK"
"NASA.JK"
"ASSA.JK"
"GMFI.JK"
"AKSI.JK"
"ABBA.JK"
"STAA.JK"
"GDST.JK"
"FREN.JK"
"PURE.JK"
"FPNI.JK"
"URBN.JK"
"MBSS.JK"
"LEAD.JK"
"MINA.JK"
"BIMA.JK"
"EAST.JK"
"RAFI.JK"
"SSMS.JK"
"PLIN.JK"
"JSPT.JK"
"CFIN.JK"
"FINN.JK"
"UNVR.JK"
"ATAP.JK"
"PBSA.JK"
"RELI.JK"
"UANG.JK"
"LAND.JK"
"WIIM.JK"
"ITMG.JK"
"SBMA.JK"
"SOUL.JK"
"POWR.JK"
"BULL.JK"
"CNKO.JK"
"LCKM.JK"
"SURE.JK"
"ELSA.JK"
"GRIA.JK"
"CLPI.JK"
"ELTY.JK"
"BRIS.JK"
"BYAN.JK"
"SAMF.JK"
"DADA.JK"
"BRNA.JK"
"BEEF.JK"
"BUDI.JK"
"PNIN.JK"
"SMCB.JK"
"BNBA.JK"
"TRJA.JK"
"ERAA.JK"
"STTP.JK"
"KPAL.JK"
"AXIO.JK"
"PSAB.JK"
"RICY.JK"
"TAMU.JK"
"PTMP.JK"
"MNCN.JK"
"BTPN.JK"
"PWON.JK"
"GLOB.JK"
"MBMA.JK"
"GOLD.JK"
"DLTA.JK"
"BANK.JK"
"KBRI.JK"
"BMSR.JK"
"MAIN.JK"
"CBPE.JK"
"ASPI.JK"
"BVIC.JK"
"AGAR.JK"
